Division_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Borishal,Borishal,1997,Kharif     ,Jute,21400,2600
Borishal,Borishal,1997,Kharif     ,Aus rice,1400,500
Borishal,Borishal,1997,Kharif     ,Summer vegetables,1000,100
Borishal,Borishal,1997,Kharif     ,Cotton,7300,9400
Borishal,Borishal,1997,Kharif     ,Sesame,3700,7100
Borishal,Borishal,1997,Kharif     ,T.Aman,650800,228400
Borishal,Borishal,1997,Kharif     ,B.Aman,3300,1000
Borishal,Borishal,1997,Kharif     ,Soyabean,10100,10200
Borishal,Borishal,1997,Kharif     ,Groundnut,2200,700
Borishal,Borishal,1997,Kharif     ,Late Summer Vegetables,2800,4900
Borishal,Borishal,1997,Kharif     ,Chilli,1300,500
Borishal,Borishal,1997,Kharif     ,Ginger,800,100
Borishal,Borishal,1997,Kharif     ,Maize,6700,11800
Borishal,Borishal,1997,Kharif     ,Mashkalai ,35600,75400
Borishal,Borishal,1997,Kharif     ,Mug,700,72900
Borishal,Borishal,1997,Kharif     ,Pumkin,35900,11100
Borishal,Borishal,1997,Kharif     ,Brinjal,200,200
Borishal,Borishal,1997,Rabi       ,Boro,100,100
Borishal,Borishal,1997,Rabi       ,Chilli,28000,14800
Borishal,Borishal,1997,Rabi       ,Corriander,20200,21700
Borishal,Borishal,1997,Rabi       ,Garlic,600,200
Borishal,Borishal,1997,Rabi       ,Grams,18800,9400
Borishal,Borishal,1997,Rabi       ,Kheshari,100,100
Borishal,Borishal,1997,Rabi       ,Lentil,600,2400
Borishal,Borishal,1997,Rabi       ,Mustard,600,1000
Borishal,Borishal,1997,Rabi       ,Onion,18000,37300
Borishal,Borishal,1997,Rabi       ,Sugarcane,30100,11100
Borishal,Borishal,1997,Rabi       ,Sweet Potato,300,200
Borishal,Borishal,1998,Kharif     ,Wheat,27400,9100
Borishal,Borishal,1998,Kharif     ,Potato,2600,1900
Borishal,Borishal,1998,Kharif     ,Cabbage,3200,1000
Borishal,Borishal,1998,Kharif     ,Cotton,14000,12900
Borishal,Borishal,1998,Kharif     ,Sesame,4000,10000
Borishal,Borishal,1998,Kharif     ,T.Aman,755200,867800
Borishal,Borishal,1998,Kharif     ,B.Aman,2300,900
Borishal,Borishal,1998,Kharif     ,Soyabean,3700,5800
Borishal,Borishal,1998,Kharif     ,Groundnut,4600,3400
Borishal,Borishal,1998,Kharif     ,Late Summer Vegetables,3300,6700
Borishal,Borishal,1998,Kharif     ,Chilli,2100,1300
Borishal,Borishal,1998,Kharif     ,Ginger,2000,300
Borishal,Borishal,1998,Kharif     ,Maize,7000,14900
Borishal,Borishal,1998,Kharif     ,Mashkalai ,38300,96800
Borishal,Borishal,1998,Kharif     ,Mug,21300,12200
Borishal,Borishal,1998,Rabi       ,Boro,200,200
Borishal,Borishal,1998,Rabi       ,Chilli,26200,25900
Borishal,Borishal,1998,Rabi       ,Corriander,25900,35800
Borishal,Borishal,1998,Rabi       ,Garlic,700,500
Borishal,Borishal,1998,Rabi       ,Grams,14800,22100
Borishal,Borishal,1998,Rabi       ,Kheshari,300,1600
Borishal,Borishal,1998,Rabi       ,Lentil,700,1200
Borishal,Borishal,1998,Rabi       ,Mustard,26600,63900
Borishal,Borishal,1998,Rabi       ,Onion,13500,3300
Borishal,Borishal,1998,Rabi       ,Sugarcane,400,200
Borishal,Borishal,1998,Whole Year ,Sweet Potato,700,65900
Borishal,Borishal,1998,Whole Year ,Wheat,100,100
Borishal,Borishal,1999,Kharif     ,Potato,1635,889
Borishal,Borishal,1999,Kharif     ,Cabbage,1880,355
Borishal,Borishal,1999,Kharif     ,Summer vegetables,9453,10510
Borishal,Borishal,1999,Kharif     ,Cotton,694865,249457
Borishal,Borishal,1999,Kharif     ,Sesame,1762,495
Borishal,Borishal,1999,Kharif     ,T.Aman,11131,14582
Borishal,Borishal,1999,Kharif     ,B.Aman,3358,9540
Borishal,Borishal,1999,Kharif     ,Soyabean,23117,3861
Borishal,Borishal,1999,Kharif     ,Groundnut,1546,1098
Borishal,Borishal,1999,Kharif     ,Late Summer Vegetables,6215,11467
Borishal,Borishal,1999,Kharif     ,Chilli,37991,105082
Borishal,Borishal,1999,Kharif     ,Ginger,8,2
Borishal,Borishal,1999,Kharif     ,Maize,4,2
Borishal,Borishal,1999,Rabi       ,Boro,99,54
Borishal,Borishal,1999,Rabi       ,Chilli,26835,9365
Borishal,Borishal,1999,Rabi       ,Corriander,21785,25358
Borishal,Borishal,1999,Rabi       ,Garlic,1071,327
Borishal,Borishal,1999,Rabi       ,Grams,21487,30576
Borishal,Borishal,1999,Rabi       ,Kheshari,12,1
Borishal,Borishal,1999,Rabi       ,Lentil,455,2203
Borishal,Borishal,1999,Rabi       ,Mustard,98,10
Borishal,Borishal,1999,Rabi       ,Onion,1,1
Borishal,Borishal,1999,Rabi       ,Sugarcane,734,1180
Borishal,Borishal,1999,Rabi       ,Sweet Potato,20258,45669
Borishal,Borishal,1999,Rabi       ,Wheat,881,145
Borishal,Borishal,1999,Rabi       ,Potato,10,2
Borishal,Borishal,1999,Rabi       ,Cabbage,439,294
Borishal,Borishal,1999,Whole Year ,Dry chillies,5199,5759
Borishal,Borishal,1999,Whole Year ,Onion,1770,32364
Borishal,Borishal,1999,Whole Year ,Sugarcane,884,83126
Borishal,Borishal,2000,Kharif     ,Jute,30693,7888
Borishal,Borishal,2000,Kharif     ,Aus rice,2477,1449
Borishal,Borishal,2000,Kharif     ,Summer vegetables,9315,2831
Borishal,Borishal,2000,Kharif     ,Cotton,12025,16128
Borishal,Borishal,2000,Kharif     ,Sesame,3755,10146
Borishal,Borishal,2000,Kharif     ,T.Aman,21,14
Borishal,Borishal,2000,Kharif     ,B.Aman,791559,884963
Borishal,Borishal,2000,Kharif     ,Soyabean,601,215
Borishal,Borishal,2000,Kharif     ,Groundnut,5071,14351
Borishal,Borishal,2000,Kharif     ,Late Summer Vegetables,1626,1143
Borishal,Borishal,2000,Kharif     ,Chilli,3475,9049
Borishal,Borishal,2000,Kharif     ,Ginger,1744,774
